BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
943,10,4.9,21.6,136956.6,SRTF,27.6,49.2,22.4
944,10,4.5,14.3,137051.6,RR,24.5,38.8,4.8
945,10,5,27.7,137111.4,SRTF,54,81.7,51.2
946,10,4.4,16.7,137171.2,SRTF,14.3,31,10.2
947,10,4.4,17,137231.6,SRTF,28.5,45.5,28
948,10,4,27.9,137288.4,SRTF,55,82.9,37.1
949,10,4,14.8,137461.7,RR,12.6,27.4,1.6
950,10,4.2,15.5,137835.7,RR,3.3,18.8,0.2
951,10,4,20.4,138114.4,RR,37.4,57.8,5.5
952,10,4.3,14.6,138212,SRTF,12.2,26.8,10.5
953,10,4.3,13.5,138271.5,SRTF,29.2,42.7,26.9
954,10,4.6,25.2,138298.9,SRTF,58.6,83.8,57
955,10,4.5,17.1,138332.6,SRTF,44.1,61.2,42
956,10,4.3,16.7,138373.3,SRTF,43.3,60,32
957,10,5.4,15.2,138634.4,FCFS,3.4,18.6,3.4
958,10,4.8,14.8,138905.1,FCFS,6,20.8,6
959,10,4.7,10.4,139114.9,SRTF,8.9,19.3,8.2
960,10,4.1,17.6,139242.4,SRTF,2.1,19.7,1.1
961,10,5.1,27.9,139401.2,SRTF,43.9,71.8,11.9
962,10,3.4,13.6,139474.6,SRTF,15.8,29.4,10.8
963,10,4.4,25.5,139511.8,SRTF,33.1,58.6,29.8
964,10,5.1,19.4,139572.3,SRTF,43.4,62.8,29.5
965,10,5.3,14.8,139739.3,RR,20.2,35,3.9
966,10,5.2,14.4,140019.3,FCFS,2.9,17.3,2.9
967,10,3.6,14.1,140178.9,SRTF,7.3,21.4,3.3
968,10,4.6,18,140320.6,SRTF,14.4,32.4,13.1
969,10,4.3,15.6,140421.5,SJF,29.8,45.4,29.8
970,10,4.7,12.9,140471.6,RR,41,53.9,9.8
971,10,4.9,17.1,140541.4,SRTF,27.5,44.6,26.6
972,10,5,12.6,140587.5,RR,57.3,69.9,13.5
973,10,4,15.7,140682,SRTF,10.2,25.9,7.1
974,10,4.8,14.4,140900.1,SRTF,3.6,18,2.4
975,10,5.8,19.1,141063.9,SRTF,8.9,28,4.6
976,10,4.3,24.1,141193.4,SRTF,55.5,79.6,53
977,10,3.6,25.2,141231.2,SJF,37.8,63,37.8
978,10,4.3,11.8,141285.6,SRTF,7.8,19.6,7.3
979,10,4.7,14.8,141340.5,SRTF,26.7,41.5,18.8
980,10,4.1,11.4,141376.6,SRTF,18.7,30.1,18
981,10,4.2,14.7,141715.8,RR,0.9,15.6,0.3
982,10,4.4,15.9,142051.4,FCFS,15.3,31.2,15.3
983,10,4.3,23.5,142181.2,RR,58.1,81.6,8.8
984,10,5.4,17.4,142318.5,SRTF,13,30.4,11.4
985,10,3.8,19.6,142429.1,SRTF,25,44.6,17
986,10,4.6,26.5,142500.5,SRTF,43.2,69.7,41.6
987,10,4.4,15.6,142550,SRTF,22.5,38.1,15.2
988,10,3.7,14.8,142617,SRTF,24.6,39.4,18.8
989,10,4.4,15,142847.1,SJF,2,17,2
990,10,5,16.2,143237.2,FCFS,2.1,18.3,2.1
991,10,4.2,26.1,143406,SRTF,58.1,84.2,56.5
992,10,4.9,29.4,143493.9,RR,111.3,140.7,13.4
993,10,4.3,27.5,143548.2,SRTF,54.4,81.9,54.1
994,10,4.2,20.5,143588.9,SRTF,32.4,52.9,32.2
995,10,4.7,23.7,143638.5,SRTF,54.4,78.1,42.9
996,10,4.5,23.7,143674.4,SRTF,45.8,69.5,37
997,10,4.3,14,143803.2,FCFS,1.3,15.3,1.3
998,10,4.1,15.2,144039.7,SRTF,3.3,18.5,2.1
999,10,6.1,15.7,144225.4,SRTF,3.9,19.6,1.9
1000,10,3.9,23.4,144429.5,SRTF,27,50.4,25.2
